rewire_id,text,label_sexist,label_category,label_vector,split,sexism_grade
sexism2022_english-10846,"holy fucking shit dude. fuck this bitch. seriously. op, i wish i could say i feel your pain but i don't. all i can say is i hope you pull through it all. i fully believe in karma and it is a bigger bitch than this woman.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-10880,you have a women that smashes other people's heads into lockers. son you need to lose that bitch now! and you think that you are the only she got on a string.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-10911,sen. elizabeth pocahontas warren implied sen. kirsten gillibrand is a slut when she claimed president trump was slut shaming gillibrand,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-10921,foids are to dumb to realise their hypocrisy,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-10934,so true girls don't know what they want and can't be loyal to anyone or anything. they just ride till they get a little bored then destroy him because they can't just leave like a normal person and find a new victim. they are black widows.,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-10938,tha brothas want dem pawgs.,sexist,3. animosity,3.3 backhanded gendered compliments,test,sexist
sexism2022_english-1096,odin raped all those giant women and mortal women with their consent.,sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,test,sexist
sexism2022_english-10969,"yh she is a slut, well she said she had a bf for 5 years and then a slutty phase afterwards. but i believe her for the most part bc she is fairly tame tbh, ive met girls who were a lot more slutty manipulatice than she is",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-11015,classic narcissist. wants her cake and wants to eat it too. block the toxic hoe and move the fuck on making yourself the priority.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-11038,"not so fast there, chief. any time a woman spouts a nonsense statistic like that you can rest assured that she is including herself in the 85 that has done no wrong. that 15 is made up of nameless, faceless women whom no other woman has ever met.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-11041,what did they expect she's an old attention whore that never gets attention anymore.... madonna slammed online for making aretha franklin tribute all about her at mtv vmas ...,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-11066,"i say merry christmas to every mooslime i see! i hope they will act up, but to no avail! a bunch of sissy faggot cowards who rape children and beat up women but will not fight real american men! oorah bitches!",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-11071,white girls are as degenerate as white cucks,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-1110,the disconnect these modern girls have is borderline comical. but we were just dating lol! reality for a lot of millienial women will sink in when they hit the wall in their mid-30's in a few years here.,sexist,3. animosity,3.4 condescending explanations or unwelcome advice,test,sexist
sexism2022_english-11136,"they turned shrinking ray a man into shrinking rae a girl and turned mark's gf amber from a white girl to a black girl, but also made the black version of her really bitchy for some reason.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-11154,looks matter more than anything if you want to sleep with high level women. not even close. wealth and fame beat looks by a country mile.,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-11165,sugar and spice and women are never nice.,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-11181,"hey cuck, your wife was a slut fucking around in her youth. i despise betas like you.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-11192,what an evil traitorous bitch,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-11231,he seriously took an initially hostile interviewer and made her his bitch. that was unbelievable,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-11241,q why do so many women fake orgasm. a because they think we care.,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-11254,not all blacks are complete niggers like this whore the pure pos nigger bitch gives others a bad name fucking cunt should investigate where she worked and deaths,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-1131,"it's all about money and status, my friend. if you have neither, you'll never get anywhere, with any woman. ask autistic men not the lucky guys in stemwell-paid careers how this works.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-1134,"husband is tired and working too much? be an ungrateful bitch, start a fight, and make him sleep on the sofa. granted, he was an a grade eager cuck, but i bet he's better off like this",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-11346,that smile on her face that says yup i can act like a total bitch and he still does things for me,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-11395,maybe to women that's what slaying means. but to men it's just racking up a pussy count.,sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test,sexist
sexism2022_english-11408,"heh, don't worry about it bro. the only sexual activity those fuckers get is oral clean-up duty of the multi-cummed skank pussy of their girlfriend after getting trained by black panthers at a blm rally.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-11496,i hope she gets raped,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,sexist
sexism2022_english-11498,today's generation of women are fucking miserable and uptight,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-11529,"bitch shouldn't have come here illegally, now should she? byefelicia deportthemall",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-11559,"good man! but if you had billions, she would want billions, and no woman would settle for 5 or 10 million, when she could get 1 or 2 billion!",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-11573,he should have posted bitch. at least i would have. shameless thot.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-11579,another pandering whore looking for 15 minutes of her masters acknowledgement,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-11583,women spend all free time trying to block male only activities,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-11609,women would rather share an alpha than have a beta to themselves.,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-11619,if you ever worked in a restaurant kitchen you would know that there are no female cooks or chefs. the only things women do in a restaurant are hosting and table waiting.,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-11692,"pretty soon, looking at a woman is eye rape. all men should move to mars and leave this stinking earth to women.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-11744,"well, you kinda gotta lower your standards a bit, and your dating pool may open. heck, i even fingered a junkie girl.",sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test,sexist
sexism2022_english-11763,"you have to realize that in today's universities, 80 of these women are fat, sjwsfeminists, and in no way more than a 3-4. of the other 20, maybe 30 are decent looking, fuckable women who won't scream rape after you alpha widow them.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-11821,bet hes a little bitch living in his moms basement whilst chewing on doritos,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-11822,"it's true bruh. i also help with love lives. show this meme to the next woman you see. if she doesn't laugh, smack the shit out of her.",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,sexist
sexism2022_english-1196,"it was like a big sisterhood all stemming from her, most feminists that bitch about the old boys' club would gladly work in an old girls' club and never realize the hypocrisy.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-11979,"college girls are insane, brainwashed man-haters.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-1205,"well no fucking shit because women dont want to be ugly, sweaty, or a fucking ceo. hmm what the fuck did i just lose a brain cell.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-12098,"among letters attesting to her good character was one written by her carpenter husband of 13 years, paul, 34. he helped her cover her face as she arrived at court for yesterdays hearing. double pussy pass! idiot husband deserves what he gets.",sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,sexist
sexism2022_english-12107,"if the ass is as spectacular as you say it is and you get another opportunity with her, consider yourself blessed by the pussy gods. most likely scenario is that that door has closed, accept that you fucked up and do better next time.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-12169,"you better get that frame of mind out of your brain cause girls, even if really interested, usually won't make the first steps. if pursueing girls is too much work, you better get over that fact cause they mostly expect you to do that shit.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-12207,"i'm saying we should man up and start acting, not just complaining. every other thread ends up devolving into a womanfeminist bashing thread. it's time to organize and stop bitching.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-12211,"hey look, a female trying to normalize the dysfunctional female behavior of withholding sex under the guise of it being good for the relationship.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-12245,"agree. i've made the six figure income. although i had to work 80 hours a week to do it. women don't give a fuck. they'd rather fuck broke chad, nothing makes up for lack of physical attraction. nothing. the women that fake it are using you.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-12255,please. whip out your white chad jawline and your fat cock and she will ruvyourontine!! asian bitches is the same.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-12260,how does one learn how to choke a women? i assume there is an art to it? is it that you're depriving blood to the brain more so than choking the windpipe?,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,sexist
sexism2022_english-12264,"once the patriarchy is gone, the future is female. ...which will result in collapse, anarchy, war, destruction, slavery, famine, disease, devastation, death, new dark age and hard patriarchy. aka, the reset.",sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,sexist
sexism2022_english-12276,"just goes to show you, the liberals hate when black's have an opinion that differs. then, a black woman of course, should go suck a dick for her opinion.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-12286,"the low-t men and hysterical women that have been brainwashed by the leftist agenda are losing it. remember, it's not over yet. the war continues to destroytheleft",not sexist,none,none,test,sexist
sexism2022_english-12308,just like they did to stormy. people now see the way the radical feminist machine uses women as weapons to smear and make false accusations against men. women will never be believed again. they brought it on themselves.,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,sexist
sexism2022_english-12315,"damn now i have an idea. making a fake chad account and getting multiple roasties emotionally invested and then breaking their hearts, if they even have one. i shall find out for science.",sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,test,sexist
sexism2022_english-12467,8h8 hours ago shouldnt the most infamous loser in history shut her pie hole at this point? its becoming an authentic tragedy. tumblinghag,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-12476,"awalt. the guy had social status, so she attached to it instantly.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-12521,"never cross a russian women, they make crazy american women look like saints.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-12534,she is such a cunt however if putin was smart he would not go on her show or nbc,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-12554,"fuck sorry to hear that bro, don't think about roping from find ways to cope, women are shallow it's just the way it works",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-12555,"feminists are women that cannot get laid, same thing as the beta males...",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-12576,chelsea is one ugly bitch. looks like neither of the clintons probably was adopted like the 2 obama girls. last i heard hillary prefers woman that's why bill fucked anything with breast.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-12588,yeah because men are so picky. dumb fucking whores and numales.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-12679,benefits for women yes .. have been in many workplaces like that sexism in favour of women xx chromosomes get promotions and long lunches while the men are the office slaves working 60 hr weeks for min wage,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,sexist
sexism2022_english-1268,the fact that women expect men to pay for them should also be the reason why men should have authority over them,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-12700,wives and girlfriends cheating is violence against the man because they are giving away the resources invested in her wellbeing. sadly our society denies that men are victims in any way because woke leftists need an enemy to sell security.,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,sexist
sexism2022_english-12784,women who live with the baby-daddy are always fucking the baby-daddy or he would have kicked her to the curb already.,sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test,sexist
sexism2022_english-12799,"yeah sure, i'm sure you will choose my chinky yellow face over chris hemsworth anyday, yeah i really believe you! just stfu already and piss off, in 2020 we men already know all you women are liars",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-12804,if i walked up to a woman and told her she is beautiful she would probably call the police or cuss me out,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-12812,"yes, child grooming for sexual purposes is illegal under us law. some of the girls were 14 or so when he first contacted them. as far as the legal age bitches, more power to him.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-12867,all women are children,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-12897,"yeah but things are different now. tradcons are part of the problem. when the muslims take over, im gonna learn arabic and im gonna have me a harem. gotta admit muslims keep their women in check",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-1296,somebody be guilt trippin' and projecting at the same time. it's women's fault he's a bitter asshole!,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-13047,"feminine traits in men can be exploited for gain, comfort, being in control what kind of sexual benefit the kind that men are generally interested in can be gained from an androgynous woman?",sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test,sexist
sexism2022_english-13053,"the arrogance of these people is never ending! they think they are gods, disconnected from any possible consequences of their actions. i suggest that titans fans should take this bitch up on her offer and not show up in droves.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-13099,she is an attention whore and since she is a stay at home wifemother she is probably cheating and will definitely divorce rape this guy in 5-10 years.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-13101,"when it pertains to women, the size of her tits is directly proportional to the length of the hug i give.",sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test,sexist
sexism2022_english-13186,"uhh basically everything, any woman who joins anything like that with glee is mentally insane, if they weren't, they wouldn't",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-13215,"showing faux concern for incels is the new ha ha, you can't get laid. women never change.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-13241,"one of the most basic points when taking trp is to learn how to push-pull with women, which is exactly what her ex-bf does. just about every girl i've been with describes me the exact same way she just described her ex. what a fucking dumb bitch.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-13255,cry about it incel bitches.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-13280,"but men suffer more during the pandemic because for every 70 cents a woman loses, a man loses a whole dollar.",sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,sexist
sexism2022_english-13364,omg if i had a quarter for all them ugly ass bitches on them apps nothing but far ugly shrek type women.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-13368,"hahaha, what a cuckold. i would've just ghosted her. i will not tell her what to do you are in a relationship with her, its your duty to tell her what to do. cuckold motherfucker. now it's too late, dump the bitch.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-13369,eeeewwwww!!! so basically only a fucking filthy kike is able to fuck that butt-ugly cunt? ok. got it. paper bag! paper bag! bet she has puppies because he only nails her doggy style....with a bag on her head.....,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-13393,"there's a reason for gender roles. men don't lust over butch girls, and women don't want soft, metrosexual hipsters. i totally agree.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-13460,do female pilots sit in a cuntpit ?,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-13469,mfw surrounded by thots,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-1351,pick a woman who is unlikely to screw them over no such woman exists.,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-13560,"it's part of the reason i can't watch the latest girl power movies from hollywood. in the movies, one woman can kick the ass of 1,000 men. without any training. in real life, if a woman is about to get raped she cries for help.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-13582,i've dealt with evil women personally so this is no surprise it does make a case for awalt. she cares more about her movement that a man that loved her.,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-13597,australia is probably the worst place to be a man. every man there is on steroids. every woman is a fucking fatass.,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-13625,"short guys still get pussy, incel bitch boys.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-13678,"and then instead of focusing on important things, like work, one needs to pour one's energies into entertaining fickle thots. or, doing useful work, and being an incel.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-13693,forgot about the part where it says gives women the gina tingles. women love abusive sadistic killers such as ted bundy and charles manson. they run dark triad game on everyone and have an abundance mentality.,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-13694,fucking lol. bitches love trinkets.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-1370,james woodsverified account 8m8 minutes agomore the swamp will simply never convict this hag for anything. ever. so dont ever bother to discuss it.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-13702,"wasserman schultz is proof that an ugly soul can create an ugly physicality...what a disgusting creature she is old whores don't die, they just become dnc chairwomen",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-13725,i hope men will be inspired to punish lousy women like you caruso after they see what happens to bitches like you. fucking die you fucking bitch!!!!!!!!!!!!!!!!!!! caruso.,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,sexist
sexism2022_english-13767,"what's stopping you from simply kicking her out, cold turkey ? tell her as little as possible. kick the bitch out.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-1380,"relationships are dead, and women killed em he would've been better off just pumping and dumping",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-1381,bet she wouldn't have to if she could open carry. these little bitches would behave themselves,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-13810,miss pony posting her own home made porn photos your one sick bitch !,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-13836,"the chap on the right is mussolini italys fascist dictator ,the thing top left should have been aborted, the two blokes snogging should be hung and the fat bitch with the i'm a fucking cunt t-shirt. has never been fucked in her cunt.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-13880,fuck yes! bus ride bitches... they're fucking criminals for goodness sake...,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-13913,damn right! grandma knows a ho when she sees one.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-13940,jesus mate that sounds an awful lot like a bdp narcissistic demon bitch,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-1395,i saw in a mass conversation that men are so used to trashy female behaviour that they don't even realize what's wrong when you call her out,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-13970,i wouldn't be surprised if the bitch was a sex predator herself!!!,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-14044,"ya, that's why she's a whore",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-14057,"got out of a 5 year relationship with a stubborn, bitchy, controlling single mom who didnt let her mask slip until the last few months. yep, they are good at hiding that part of themselves.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-14061,"the sad reality is without sex, men dont need or want women. but women desire and crave male attention, thats why they are constantly invading and taking over male spaces.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-14067,woman here opinion discarded.,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-14094,and if he was a male sex slave he'd bitch and whine,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-14143,all black women are fat and stupid! but then again i live in reality! but it is a fact that all democrats are retarded! they prove this every day!,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-14197,"look at those eyes. either someone unexpectedly just fisted her up the dumper, or that bitch is certifiably a nutburger.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-14217,"no doubt, but i think in any relationship longer than 5 years there's basically a 100 chance that your woman has fucked around on you.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-14232,it's not hard when all women are cunts.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-14269,"even if it's unwanted attention male of inferior smv, she always can post of cuckbook telling everyone how she's literally raped and gain lots of delicious likes.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-14300,bro he's litereally 170cm and a framelet he just looks tall and large because the girls are like 160cm and small. i dont know what girl would date a guy that short and small framed in the west that wasn't loaded or had a chad face.,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-1435,"yep! just muted , a female apparently jew who weeps and screams a lot and reports everyone it disagrees with. watch the bitch!",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-14369,"what a total cunt. ps it's the mother who's the total cunt, not the kid.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-14372,feminists want to trap girls until they have no choice but date old jew dykes,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-14409,but don't you miss having a first lady that could beat most men in a bar brawl...or at least b.o...michael...i mean michelle...or whatever hi..her name was...was so ma...womanly... that's the one,sexist,3. animosity,3.3 backhanded gendered compliments,test,sexist
sexism2022_english-14482,"woman speak is like donkey braying be quiet, woman' old russian proverb",sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test,sexist
sexism2022_english-14485,"it's different since nobody least of all feminazis like you gives a flying fuck about sexual assault when it's men, but only barbaric wackos don't care about girls getting an education.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-14525,what a nice little trashy whore she is.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-14528,"this sen. needs to stand up and call the dumb cunts just that, dumb cunts",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-1455,you know the truth already you dont need some dumb virtue signaling bitch to confirm to you looks matter and that you are ugly for millionth time,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-14593,"tbh, that's how civilization got built. betas working day night to bring home money. if women chad were running things, we would all still be in mud huts caves.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-14596,it's not the same goys. groping women is my comedy shtick,sexist,"1. threats, plans to harm and incitement",1.1 threats of harm,test,sexist
sexism2022_english-146,that hug could turn into a false sexual assault or rape conviction down the road....this is damn good advice for men...never touch any girl or woman....let them wither on the vine from lack of attention.,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,sexist
sexism2022_english-14605,i wish that antifa woman had gotten hit too....women who are sluts and whores and work for the other side should get equality. they get treated like men...maybe worse....,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,sexist
