rewire_id,text,label_sexist,label_category,label_vector,split,consensus
sexism2022_english-10446,"Well if you're a cuck then someone else is fucking your wife or gf. Not sure where you're from but for most of us, that's not a good thing.",not sexist,none,none,test,mixed
sexism2022_english-1045,Donald Trump got more fat women out walking in one day than Michelle Obama did in 8 years. 😂😂 #WomensMarch #PresidentTrump #MAGA,not sexist,none,none,test,mixed
sexism2022_english-10456,She gets a bad rap because it's pretty obvious which group she disagrees with.. If the fem-Nazis hate her she can't be all that bad,sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-10588,"She is garbage sent here to harm and die. Contaminated by the west, she will be killed by her masters. Don't listen; the real monsters wait in the shadows. You have no idea of the horrors she brings.",not sexist,none,none,test,mixed
sexism2022_english-106,"[USER] PROTEST ""VICTIM?"" Woman Punched On Video Talks About Assault During Berkeley Demonstration Says she was attacked? Video doesn't lie, beeottch! YOU did the attacking, and got your clock cleaned for doing it you piss ant! [URL]",sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-10610,as long as you give an explanation to your ratings you won't get banned. i love trolling girls there sometimes.,not sexist,none,none,test,mixed
sexism2022_english-1069,Hoochie mama,sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-10731,"""That tall man must certaily be better with women because of his large muscles, big penis ... just imagine him naked, those perfect lines, naked muscles .... that is why I hate women""",sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-10735,"She didn't have to be a bitch about it. She literally went out of her way to rub the rejection in his face, when a simple ""I appriciate the offer but I have a boyfriend"" would have sufficed.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-10756,"how is that beta, the guy holds no threat so there's no point in you stepping down by making her think that you and this guy even the same level.",not sexist,none,none,test,mixed
sexism2022_english-10760,"Sex in public. I was watching the last Harry Potter movie with my girlfriend. Her response was ""No, there's people around."" So we got up and walked to the back of the theater. Did I rape my girlfriend?",not sexist,none,none,test,mixed
sexism2022_english-10857,It just means he was cute or attractive enough I don't think a married girl would want to hug a guy otherwise.,not sexist,none,none,test,mixed
sexism2022_english-10865,"your facial structure is fine, but you SERIOUSLY need a skin care routine (i'm talking moisturizer, face wash, toner, etc.), a haircut, and a smile. do you know how to talk to girls?",not sexist,none,none,test,mixed
sexism2022_english-10894,Real men aren't violent Real women are If I said that on r/feminism I would be banned instantly and if I said it in real life I would be labeled a sexist. But since it's a man it's OK because men are violent aren't they?,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-10950,Certainly the username checks out. She should be more angry with her stupid mother for being careless.,not sexist,none,none,test,mixed
sexism2022_english-10985,"This is one of the most important observations about the feminine psyhe that can be made. The principle is completely erroneous, of course, but it is one that they all operate on.",not sexist,none,none,test,mixed
sexism2022_english-10990,"Dude, it took me 10 minutes to figure out these were before and after pics. At first I didn't believe that most women hit the wall hard at 30. This was a really fucking mind opener",sexist,2. derogation,2.1 descriptive attacks,test,mixed
sexism2022_english-11039,"So whose fault is it for wet dreams? If a wife or girlfriend deliberately withholds sex, isn't she also contributing to acts against an unborn child?",not sexist,none,none,test,mixed
sexism2022_english-11040,"The argument “I can’t change my height” is a bad one. You are assuming women gaf about what is in your control. When a 7/10 has a plethora of guys to choose from, some will be tall, and she will choose accordingly. Supply and demand",not sexist,none,none,test,mixed
sexism2022_english-11055,"#maxims #LaRochefoucauld ""The greater number of good women are like concealed treasures, safe as no one has searched for them.""",not sexist,none,none,test,mixed
sexism2022_english-11075,Bigot! You think only women can fuck fish?? Fair is fair!!! Let's ALL Fuck fish! (Are there tranny fish? ),sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,mixed
sexism2022_english-11101,My first instinct would be to make fun of her for not knowing how to.,not sexist,none,none,test,mixed
sexism2022_english-11119,"It’s kind of funny and ironic how this oppressed and enslaved religious group oppressed and enslaved a man into raising a kid not of his own blood, and the “virgin” woman gets praised throughout the centuries. Cuckery at its most finest.",sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,mixed
sexism2022_english-1112,"Looks more like an old bagger if you ask me, and I'm a woman judging her, lol. I am an old bag in general lol.",not sexist,none,none,test,mixed
sexism2022_english-11121,"Come on.. Even women (FOR FUCK'S SAKE..) are coming out in MSM saying the ""me too"" ""rape culture"" shit needs to get capped. This nonsense has gone too far.. When does it end?",sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,mixed
sexism2022_english-11138,"No, but i got some slave girl on a zero hour contract to make make it. How's the Hallzster? 😘",not sexist,none,none,test,mixed
sexism2022_english-11149,Nobody except the most diehard pussy hat partisan sycophants like her. Even a near-majority of those who voted for her are sick of her. I want her to die.,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,mixed
sexism2022_english-11156,Thank you for dying for safety of chad and Stacy and their children.,not sexist,none,none,test,mixed
sexism2022_english-11157,How do you fix the dishwasher if it’s not working? Here are some answers from around the world: Upper Left: In Brazil Upper Right: In Armenia Lower Left: In Canada Lower Right: In any Muslim country,not sexist,none,none,test,mixed
sexism2022_english-11170,"that is knajjd, everybody hate that pricks gutts, he ban people randomly, he is also 5'2 and looks like a girl",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-11173,"Of course not dear, and now men are using the exact same argument since men are by far more often murdered than women. I have no obligation to put myself in harm’s way to help a stranger because she has a vagina.",not sexist,none,none,test,mixed
sexism2022_english-11188,"Nah, women live life without a care",not sexist,none,none,test,mixed
sexism2022_english-11195,lol yep--shes such a tough chick🇺🇸,not sexist,none,none,test,mixed
sexism2022_english-11212,"If you are bleeding from your vagina, you are a woman...period. [URL]",not sexist,none,none,test,mixed
sexism2022_english-11223,Globogayplex is trying to recruit your wife. [URL],not sexist,none,none,test,mixed
sexism2022_english-11239,It was pretty much that during the last election. The dems just need a few more single moms in society to competly control everything,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-11252,[URL] Can't really pick a side in this one Female Israeli soldier uses martial arts to fight off crowd of ultra-Orthodox demonstrators as they call her a 'wh***',not sexist,none,none,test,mixed
sexism2022_english-11284,This right here. Attractive women are attracted to trust fundy douche nozzle frat boys. Debate me.,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-11286,"It is the preference. Anyone who says they prefer a woman with makeup is an idiot. You aren't actually attracted to them, you are attracted to a caricature.",not sexist,none,none,test,mixed
sexism2022_english-11296,"If you don't want your mother fucked, keep her off the streets",sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test,mixed
sexism2022_english-11301,"Don't think that using the word ""feminine"" wasn't strategic, Mo. It was. And I couldn't agree more with everything else you wrote. They attempt to bring the rest of us down to their level. Not gonna happen ... Lol, men are a gift from God.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-11305,I barfed on Hillary Clinton when I landed on her. #Hillary,not sexist,none,none,test,mixed
sexism2022_english-11340,so they confirm being a women means being a hole. sexist pig vice! REEEEEEEE,sexist,2. derogation,2.1 descriptive attacks,test,mixed
sexism2022_english-11353,Seems like some white man was banging his mom to produce his half assed complexion.,not sexist,none,none,test,mixed
sexism2022_english-114,Maybe to get drunk and say you raped her?,not sexist,none,none,test,mixed
sexism2022_english-1149,"Fucking skank. She should be in jail,",sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-11493,"So if men can beat women at cooking and cleaning, why are incels so obsessed with finding women who can double as a maid? 🤔",not sexist,none,none,test,mixed
sexism2022_english-11506,"I talk to people just fine. Women at best are ""okay"" with me around them. If they want you they make it apparent, and with a shitty frame, height, and face like mine there is no chance.",not sexist,none,none,test,mixed
sexism2022_english-11537,Hard time deciding if she is as stupid as she looks or she really thinks people are as dumb as dirt. [URL],not sexist,none,none,test,mixed
sexism2022_english-11547,"[USER] Nigger foreplay = ""If u scream I'll kill you, bitch!"". #niggers #tnb #DinduNuffin #blackcrime",not sexist,none,none,test,mixed
sexism2022_english-11568,Ghost her ass.,not sexist,none,none,test,mixed
sexism2022_english-11585,"A woman's guide to triggering liberals: ""I heard #PresidentTrump has a 9 inch cock - he can grab my pussy any time he likes, as long as I can grab back"" Then get punched in the face",not sexist,none,none,test,mixed
sexism2022_english-11613,But if a women says she’s suicidal she’s get the attention of 1000 guys like wtf. And they wonder why male suicide is so high,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-11626,Perhaps a page should be taken out of the Klinton/Obamaha playbook and punch back twice as hard; destroy her privacy completely.,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,mixed
sexism2022_english-11630,A simp is fucking the girl you want. What does that make you? Time to act or move on.,not sexist,none,none,test,mixed
sexism2022_english-11638,How do you make Lady Gaga scream? Bite her clit off.,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,mixed
sexism2022_english-11728,"She won't mind if you try. It is possible (5%) she will say ""no, and I mean it"", but it would really hurt her feelings if you wouldn't try it. Talking from my experience. :(",not sexist,none,none,test,mixed
sexism2022_english-11759,"I don't care if she's Trump's daughter.., she's an insane, anti-American, jew married vapid overly privileged female...",not sexist,none,none,test,mixed
sexism2022_english-11761,Providing Emotional Support is gay. The best way to pull anyone women included out of depression is squats and nutritious food. You should be leading your girlfriend not being her vagina boy. She already has a vagina she doesn't need a second.,sexist,3. animosity,3.4 condescending explanations or unwelcome advice,test,mixed
sexism2022_english-11767,Imagine if the WWE tried bringing the attitude era back and have a women walk on her fours and bark like Trish.,not sexist,none,none,test,mixed
sexism2022_english-11777,"[USER] Lock her up with Hillary,,,she needs a similar minded jail mate.",not sexist,none,none,test,mixed
sexism2022_english-1178,"Sorry, I don't speak stupid bitch...",sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-118,The old hag had a lot of competition crawling around the Oval Office. POTUS has a beautiful spouse and clean carpets.,not sexist,none,none,test,mixed
sexism2022_english-11806,For sex just ask the girl you've been in contact with if she wants to come over and you'll cook her dinner. Make something that would make a 5 star restaurant jealous. Find a new girl at the party.,not sexist,none,none,test,mixed
sexism2022_english-11826,One look at this woman and it is obvious why she hates Men.,not sexist,none,none,test,mixed
sexism2022_english-11829,[USER] It would be funny to see that ugly old bag trying to wrap them ugly legs around her neck,not sexist,none,none,test,mixed
sexism2022_english-11843,"Oh yes, she should be shot.",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,mixed
sexism2022_english-11844,"I always wanted to see one of those so I could run up, pull out my cock and fuck her face.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,mixed
sexism2022_english-11845,Sounds like so many men in this sub talking about feminism. Feminism is about equal rights for women. Feminists are about giving women the benefits and baring none of the responsibility in society. Let's end the women hate fellas.,sexist,2. derogation,2.1 descriptive attacks,test,mixed
sexism2022_english-11859,I can't wait for Clamydia De'Shaniqua to twerk with her crew as she cuts into my abdomen. How multicultural!,not sexist,none,none,test,mixed
sexism2022_english-11872,🐵 here’s a 🍌 banana bitch since you wanna act like a monkey,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,mixed
sexism2022_english-11877,Eh your right but I’d say 17-18% is ideal for women.,not sexist,none,none,test,mixed
sexism2022_english-11886,You've seduced a girl before right? Just do the same thing with her without the kissing. Pull ya dick out and make er suck for god sakes,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,mixed
sexism2022_english-119,It's probably the left making accounts in an effort to shut this place down because we're not on that gay twitter anymore to trigger the left. They want us gone and then miss us. Oh and go fuck your mother!,not sexist,none,none,test,mixed
sexism2022_english-11920,"I'm 5""3, underweight, and don't have a 6 figures job. I still haven't struggled finding a relationship or talking to girls. The secret ingredient is to not be a total wanker.",not sexist,none,none,test,mixed
sexism2022_english-11996,gagging test (pay no attention to the caterpillars in her eyes),not sexist,none,none,test,mixed
sexism2022_english-12022,Why do all these commie girls have middle age bellies?,not sexist,none,none,test,mixed
sexism2022_english-12057,"If there are 100 men and 100 women, and all of the women have sex with one of the men, 100% of the women will have had sex while only 1% of the men have.",not sexist,none,none,test,mixed
sexism2022_english-12075,Gorier Allred is a blatant misandrist. Her dad must have molested her.,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-12085,The cute girl at the dog park is also probably getting hallowed out by the basketball team in her spare time or posting her shit for free online though. *shrug,not sexist,none,none,test,mixed
sexism2022_english-12093,"Because women are taught by society that men with no ambition and shit personalities are not diserable, so it’s soiciety that needs to change so women can change... easy peasy",sexist,3. animosity,3.4 condescending explanations or unwelcome advice,test,mixed
sexism2022_english-1211,Fuck that cunt. Hope she gets locked up for saying that shit on social media. Cheating bitch,sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-12115,Absolute cuck move. Tell her to fuck off,not sexist,none,none,test,mixed
sexism2022_english-12148,"Nah, not really. When attractive women shun me for what I can control (my incel lite AWALT worldview), the trauma lives on. FTFY",not sexist,none,none,test,mixed
sexism2022_english-12150,"Jane will marry some sucker, cheat on him, get divorced, ride the CC, and end up fat, miserable and probably a single mother. You are going to be free, happy and successful!",not sexist,none,none,test,mixed
sexism2022_english-12163,Get packing you miserable freeze-dried old Kike cunt.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,mixed
sexism2022_english-12170,Tell that to Weev you lying shitskin son of a bitch.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,mixed
sexism2022_english-122,"There are no low sex drive women, only unattractive husbands/boyfriends. CMV",not sexist,none,none,test,mixed
sexism2022_english-12218,"I t’s a woman who’s self worth will be grossly over inflated. . > harmless? So no, it’s far from harmless. Social media in general and dating apps in particular have ruined the male/female dynamic in the West.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-12229,I'd be willing to end the 19th Amendment to stop that Emily in her tracks.,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,mixed
sexism2022_english-12259,I would love to suck her tits,not sexist,none,none,test,mixed
sexism2022_english-12267,"Yes, it is new. What remains constant is that feminists are playing to the fears of women to instill hate.",sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,mixed
sexism2022_english-12277,"Is this ride fun for them, is this there idea of fun? Because ita fucking not. Its beyond absurd. A media fucking merry-go-round that makes us all look like twats is not my idea of fun.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,mixed
sexism2022_english-12293,"You're not gonna convert anyone. A better post would be, ""Blacks typically commit more violent crime. White women have the right to receive this information, and should seriously consider this risk when looking for boyfriends.""",not sexist,none,none,test,mixed
sexism2022_english-12295,this is why in other cultures women are beat on their wedding night,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,mixed
sexism2022_english-12298,If only my ex was a nice woman like her and just put a bullet in my head instead of torturing me on a daily basis... Most women prefer the death by 1000000 cuts method.,sexist,2. derogation,2.1 descriptive attacks,test,mixed
sexism2022_english-12302,"Actually first i advise to make here take a pregnancy test before running away , she could have sex with any man in the next month , get pregnant , and say the child is his , he needs to kill the possibility then run ... run and never look back",not sexist,none,none,test,mixed
sexism2022_english-12327,should've hit her ass with tranq dart and let the lion do lion things.,not sexist,none,none,test,mixed
sexism2022_english-12331,Never enough blood to satisfy these girls. I learned that a long time ago.,not sexist,none,none,test,mixed
sexism2022_english-12336,Giving women all your money is good personality.,sexist,2. derogation,2.1 descriptive attacks,test,mixed
sexism2022_english-12388,I'd just love to be able to walk up to her and punch her in the face...just once.,sexist,"1. threats, plans to harm and incitement",1.1 threats of harm,test,mixed
sexism2022_english-12408,"Men, like myself, need them because our moms fucked us up so badly.",not sexist,none,none,test,mixed
sexism2022_english-12423,Buahahahahahaha. . .STOP paying for women. WTF. They don't give threee flying fucks about you.,sexist,2. derogation,2.1 descriptive attacks,test,mixed
sexism2022_english-12436,Even when they're raping your daughter and sawing off your husband's head with a butcher knife?,not sexist,none,none,test,mixed
sexism2022_english-12448,"My cat I had for 15 years died and I broke down a little infront of a plate. Absolutely nothing changed. Just never bring it up again. Think of it as a test for her. If she leaves, she was trash to begin with.",not sexist,none,none,test,mixed
sexism2022_english-12458,"I hope we don’t. Maybe if all the woman-bashing and “Cunt” speak were minimized, then we would be less likely to get banned ...? Dunno",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,mixed
sexism2022_english-12461,"Score, at least you banged her!",not sexist,none,none,test,mixed
sexism2022_english-12464,"Yep, Mattress Girl Kamala is the youngest so she's the most dangerous. She'll be around a long time in that shit state.",not sexist,none,none,test,mixed
sexism2022_english-12493,Date rape is a common form of rape what would stop the attackers from using objects especially if the attacker was a woman.,not sexist,none,none,test,mixed
sexism2022_english-12508,Literally any woman that isn’t fat but even fat women only want chad and tyrone,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-12546,Trump extortionist Stormy Daniels to facilitate cryptocurrency payments on her website for porn content - [URL] #news #finance #bitcoin #stormydaniels,not sexist,none,none,test,mixed
sexism2022_english-12565,"Absolutely not. She can tie you up, feed you with viagra and rape you until she gets pregnant and you will be liable for child support 'In the best interest of the child'. Welcome to the U.S.",sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,mixed
sexism2022_english-12580,"Good point. Some guys have absolutely no standards. Even a 500 pound woman finds some desperate loser willing to ""love her for who she is""",sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-12583,"Ok to any lurking incels: the above is a joke, don’t go putting yourself on torture racks. I know this seems ridiculous to have to point out.... but considering the fact that this is on a thread about a vagina getting “looser” with use......",not sexist,none,none,test,mixed
sexism2022_english-12584,[USER] True Ladies are warriors for truth and nothing is tacky When you stand on the right side of it. In fact it shows a persons quality to stand for the truth when it is unpopular. That is what any True Lady or Gentleman must do.,not sexist,none,none,test,mixed
sexism2022_english-12642,Not my point. My point is the average woman puts more effort than the average man. I can walk outside and see plain as day more women that care about their appearance.,not sexist,none,none,test,mixed
sexism2022_english-12652,Yes i hate women that carry their dogs to the supermarket or those who post a pic with it with a low iq quote about loyality and how a dog is better than a humans but it seems many users here are doing the same thing.,not sexist,none,none,test,mixed
sexism2022_english-12682,She should post on simprateme so she gets a 8/10,not sexist,none,none,test,mixed
sexism2022_english-12732,"[URL] [USER] [USER] [USER] Charlottesville just elected a Communist Antifa nigger woman, Nikuyah Walker as the new mayor.",not sexist,none,none,test,mixed
sexism2022_english-12747,"There is no overcoming the long odds because it’s based off your physical attractiveness. Take a hot guy, he’ll instantly match with women. Take a ugly one and he won’t get any matches, that’s how life goes.",not sexist,none,none,test,mixed
sexism2022_english-12750,Fucking beard having hijab wearing pieces of shit.,not sexist,none,none,test,mixed
sexism2022_english-12763,I dont hate women. I dont love them either. I understand how they work and i'm indifferent towards them. They have no bearing on my life.,not sexist,none,none,test,mixed
sexism2022_english-12768,"That's no woman, that's a man baby.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-12774,"Well obviously, when a woman commits rape, its out of love, not lust. /s tag for the sarcasm impaired.",not sexist,none,none,test,mixed
sexism2022_english-12797,she looked worse on her livestream,not sexist,none,none,test,mixed
sexism2022_english-12809,"I hate when I see a nigga come /this close 👌/ to saying women need to stick to our roles, but then adds just a pinch of feminist bullshit in a cucked attempt to not look ""sexist"".",not sexist,none,none,test,mixed
sexism2022_english-12882,"That brown one, bottom right, is being extremely transphobic. >If you call Lily, a trans undead 12 year old a trap or loli That only leaves Shota, a boy. Way to misgender her, shitlord!",not sexist,none,none,test,mixed
sexism2022_english-12947,His Ashkenazi jaw line... it infuriates me. I want to plant a baseball bat against it so badly. I shouldn't talk like this to a lady... Needed to ventilate.,not sexist,none,none,test,mixed
sexism2022_english-12981,"You misogynist cisgendered scum. You dared to use facts to show Saint Anita is wrong, plz reconsider your actions as it constitutes harassment of a woman. /s",not sexist,none,none,test,mixed
sexism2022_english-12996,Shudder.. if you had to have sex with her you would have to roll her in flour first so you could find the wet parts.,sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test,mixed
sexism2022_english-13012,Im actually glad they made women clean that,not sexist,none,none,test,mixed
sexism2022_english-13014,That poor bastard. Really scrapping under the barrel to fall for her.,not sexist,none,none,test,mixed
sexism2022_english-13015,Rape list put up in boys' toilets. The girls who get the most ticks will be the ones to be raped. [URL],sexist,"1. threats, plans to harm and incitement",1.1 threats of harm,test,mixed
sexism2022_english-13035,Those create your owns (As in the ones where you put your name and chosen numbers) depending on what type of design of said pro or college ball jersey Nike's slinging can put a rape parade on the wallet.,not sexist,none,none,test,mixed
sexism2022_english-13042,Looks like a tranny witch,sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-13051,"If I recall correctly, the Icelanders of today are descended from a male population that was 80% scandinavian, 20% celtic (thralls), and a female population that was 60% celtic (war booty from raids), 40% scandinavian.",not sexist,none,none,test,mixed
sexism2022_english-13064,Greek authorities move 400 'asylum seekers' out of crowded Lesbos camp: [URL],sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,mixed
sexism2022_english-13088,"When asked to help load a woman’s rollerboard into the overhead bins, how do you respond? I keep my eyes down to avoid eye contact while the women are struggling to load their bags, and that helps. But when asked to help, I’m not sure how to respond.",not sexist,none,none,test,mixed
sexism2022_english-1313,"Greens, eh? The fateful question of the Occident is thus now whether young female university graduates can be continually served with yoga and Pilates courses even amidst the ruins looming on the horizon.",sexist,2. derogation,2.1 descriptive attacks,test,mixed
sexism2022_english-13150,"Canadians, how could you have elected this ignorant piece of shit to be the leader of you country? He is a Left Wing pussy not fit to govern anybody anywhere.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,mixed
sexism2022_english-13212,"So which is is gals? Are you strong, independent, and persistent, or are you victims that constantly needs men to come to your defense? Chivalry is long dead, so you better put your big-boy pants on bitches...",sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-13224,"10/10 with interior decorating skills like yours, girls will be falling all over you. I'm falling for you a little myself",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-13311,yep what made her think she could enter a nest of niggers? this is how they are not victim blaming but the white guilt and black victim industries are getting whites killed,not sexist,none,none,test,mixed
sexism2022_english-13347,"Ironically, men are actually getting paid proportionately less, with players only getting about 9% of revenue generates, whereas female players are taking away roughly 13%.",not sexist,none,none,test,mixed
sexism2022_english-13378,"So to summarize, men should work and women should care for the children. Isn't this a feminist organization?",not sexist,none,none,test,mixed
sexism2022_english-13452,I don't care if she doesn't care. If she tries to break into my house I will shoot her. Dead.,sexist,"1. threats, plans to harm and incitement",1.1 threats of harm,test,mixed
sexism2022_english-13484,Let me just be a faggotx girls will like me now,not sexist,none,none,test,mixed
sexism2022_english-13518,Hilarity. I had sex with a black woman once. It was a bizarre sensation. It occurred to me perhaps this is what prison sex is like: You close your eyes and try to imagine you are having sex with a woman.,sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test,mixed
sexism2022_english-13524,"""entitled"", ""personality"", ""lower your standards"", ""slut shaming"", ""improve yourself"", ""therapy""",not sexist,none,none,test,mixed
sexism2022_english-13534,Avoid argument with women,not sexist,none,none,test,mixed
sexism2022_english-13568,"Sometimes girls laugh if they like you, they're silly creatures.",not sexist,none,none,test,mixed
sexism2022_english-13587,"As an Eagle Scout, I'm less than pleased with all of this. If women wanted to destroy the BSA, they've done it.",sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,mixed
sexism2022_english-13598,"I am not an expert on trannies, but they are likely using testosterone to stimulate hair growth. The FDA classifies testosterone as category X for pregnant women. So they are damaging the child. No wonder this retard had a miscarriage before.",not sexist,none,none,test,mixed
sexism2022_english-13599,Want every woman tearing at your pants this October (the cute ones)? Try Pumpkin Spice Penis Deodorant. You're welcome men!,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-13609,"maybe 10 years ago, now she's too fat and too mommy",not sexist,none,none,test,mixed
sexism2022_english-13616,"All minority characters are good. Only exception: if they are male, all their skill is immediately superseded by any woman.",not sexist,none,none,test,mixed
